details_id,job_ids,company_Name,designations,industry,employees_count,linkedin_followers,involvement,level,total_applicants,City,State
360,3973137544,Bristol Myers Squibb,Decision Analyst II,Information Technology & Services,10001,136142,Full-time,Associate,69,Hyderabad, Telangana
361,3977859116,Innovatily,Data Architect,Retail,5000,372646,Full-time,Entry level,26,Bengaluru, Karnataka
362,3959359902,Vedantu,Senior Data Analyst,IT Services and IT Consulting,5000,17609,Full-time,Mid-Senior level,88,Bengaluru, Karnataka
363,3978498402,GBIT (Global Bridge InfoTech Inc),Azure Data Architect,IT Services and IT Consulting,50,48254,Internship,Internship,105,Hyderabad, Telangana
364,3973957898,Ecolab Digital Center,Technical Architect,Telecommunications,10001,508975,Full-time,Associate,113,Bengaluru, Karnataka
365,3974743581,Exela Technologies,Data Architect,Business Consulting and Services,5000,71468,Full-time,Internship,57,Hyderabad, Telangana
366,3948465752,Lowe's India,Data Scientist,IT Services and IT Consulting,10001,1183047,Full-time,Associate,12,Bengaluru, Karnataka
367,3974750525,Value Point Systems Pvt Ltd,Presales Specialist,Oil and Gas,10001,6597754,Full-time,Full-time,160,Mumbai, Maharashtra
368,3977532699,Gida Technologies,Project Management Intern,Financial Services,10000,194603,Full-time,Mid-Senior level,4,Bengaluru, Karnataka
369,3973148168,Lumen Technologies,Information Security Engineer,Business Consulting and Services,500,91890,Full-time,Entry level,0,Bengaluru, Karnataka
370,3976678951,Milliman,Actuarial Intern,IT Services and IT Consulting,10001,1320656,Full-time,Associate,59,Gurgaon, Haryana
371,3973394514,Virtusa,Python,Insurance,10001,861662,Full-time,Full-time,20,Pune, Maharashtra
372,3966424223,Shell,Shell Graduate Programme 2024 - India,Pharmaceutical Manufacturing,10001,1435022,Full-time,Entry level,16,Bengaluru, Karnataka
373,3974747649,The Citco Group Limited,Analyst - Data Privacy,Financial Services,10001,2474267,Full-time,Full-time,29,Pune, Maharashtra
374,3977231785,Sattva Consulting,Analyst - Nonprofits Advisory,IT Services and IT Consulting,200,9176,Full-time,Executive,6,Bengaluru, Karnataka
375,3952837260,Verizon,Specialist - Business Intelligence,IT Services and IT Consulting,10001,9367536,Full-time,Full-time,2,Chennai, Tamil Nadu
376,3972893333,MetLife,Consultant - Analytics,E-Learning Providers,10000,1064296,Internship,Internship,101,Noida, Uttar Pradesh
377,3925575529,Bristol Myers Squibb,Decision Analyst II,IT Services and IT Consulting,10001,9367536,Full-time,Full-time,3,Hyderabad, Telangana
378,3953334973,Deutsche Bank,"Operations Analyst, NCT",Human Resources Services,10,20658,Full-time,Entry level,0,Gurgaon, Haryana
379,3975497053,Panzer Technologies Pvt Ltd,Business Development Executive,IT Services and IT Consulting,10001,47849,Full-time,Mid-Senior level,128,Hyderabad, Telangana
380,3924668999,Wipro,Domain Consultant,Truck Transportation,10001,584894,Full-time,Full-time,177,Bengaluru, Karnataka
381,3973959585,Unacademy,Operations Intern,IT Services and IT Consulting,10001,2363608,Full-time,Entry level,12,Bengaluru, Karnataka
382,3908061820,Wipro,Domain Consultant,IT Services and IT Consulting,10001,9367537,Full-time,Full-time,4,Bengaluru, Karnataka
383,3929034726,Skill Farm,Risk & Controls Analyst,Software Development,500,31826,Full-time,Entry level,0,Bengaluru, Karnataka
384,3919923976,HCLTech – Engineering and R&D Services,Data Architect,IT Services and IT Consulting,1000,23895,Full-time,Internship,0,Hyderabad, Telangana
385,3919069667,XPO,"Engineer, Technology",Business Consulting and Services,10001,5927984,Full-time,Full-time,92,Hyderabad, Telangana
386,3956629009,Accenture in India,Risk and Compliance Analyst,IT Services and IT Consulting,50,53944,On-site,Full-time,74,Bengaluru, Karnataka
387,3938443986,Wipro,Developer,IT Services and IT Consulting,5000,99716,Full-time,Executive,80,Pune, Maharashtra
388,3932151274,BigStep Technologies,Business Development Associate,Marketing,100,0,Full-time,Entry level,0,Gurugram, Haryana
389,3977961236,Srijan- A Material+ Company,IT Operations Trainee,Software Development,500,33211,Full-time,Associate,66,Gurugram, Haryana
390,3978501057,McKinsey & Company,Enterprise Technology Advisor/Builder,IT Services and IT Consulting,200,15494,Full-time,Full-time,52,Gurugram, Haryana
391,3976161207,Vimerse InfoTech Inc,SQL + BI + SAS,IT Services and IT Consulting,1000,7339,Full-time,Mid-Senior level,0,Gurugram, Haryana
392,3977891309,Grid Dynamics,Data Architect,IT Services and IT Consulting,1000,153529,Full-time,Mid-Senior level,166,Bengaluru, Karnataka
393,3971714867,IDESLABS PRIVATE LIMITED,Associate Technical Support Engineer,IT Services and IT Consulting,1000,153530,Full-time,Mid-Senior level,116,Pune, Maharashtra
394,3971192622,DataWeave,Associate Technical Architect,Software Development,5000,188944,Full-time,Associate,144,Bengaluru, Karnataka
395,3977269363,TechHost Services,SAP Cloud Integration,Financial Services,10001,5179760,Full-time,Full-time,130,Bengaluru, Karnataka
396,3977851455,VE3,Peoplesoft Campus Solutions Analyst- Student Records,Internet Marketplace Platforms,500,94140,Contract,Mid-Senior level,106,Pune, Maharashtra
397,3977850698,eJAmerica,Power Bi Developer,Software Development,10000,1013817,Full-time,Associate,43,Bengaluru, Karnataka
398,3977849752,eJAmerica,Power Bi Developer,Airlines and Aviation,10001,662173,Full-time,Internship,23,Bengaluru, Karnataka
399,3975890096,Avalara,Associate Analyst,Insurance,10001,351515,Full-time,Entry level,1,Pune, Maharashtra
400,3963939987,JPMorganChase,Financial Analysis - Analyst,IT Services and IT Consulting,200,9223,Full-time,Associate,0,Mumbai, Maharashtra
